Comments,ConversionID,Date,Claim Manager,Service Manager,Officer Name,NPS Score,FCR Score,Initial Direction,Workgroup
@freewrytin God is way too good for Claritin,'1',"January 1, 2023",Alice Wonderland,Dina Tuto,Scarlet Phillips,2,0,Outbound,A
I need Claritin. So bad. When did I become cursed with allergies?,'2',"February 2, 2023",Eric Santos,John Smith,Mack Valenzuela,3,25,Inbound,B
Thank god for Claritin.,'3',"March 3, 2023",Dan Trolly,Alex Trinidad,Virginia Simon,10,89,Outbound,C
"And what's worse is that I reached my 3-day limit on the nose spray yesterday, which means I have to rely on Claritin.",'4',"April 4, 2023",Eric Santos,Dina Tuto,Mack Valenzuela,6,100,Inbound,D
Time to take some Claritin or Allegra or something. I need my voice,'5',"June 5, 2023",Eric Santos,Alex Trinidad,Mack Valenzuela,3,87,Outbound,A
Oh my RT @imsydneycharles: I just want it to be on record somewhere that I took Claritin and Benadryl together...just in case I pass out,'6',"July 6, 2023",Dan Trolly,Dennis Uy,Scarlet Phillips,2,54,Inbound,B
,'7',"August 7, 2023",Alice Wonderland,John Smith,Virginia Simon,3,34,Outbound,C
Commander Loratadine Generic A Sarcelles: Commander Loratadine Generic A Sarcelles Claritin =Ûª_Ûª__ http://t.co/mOleL8AM,'8',"September 8, 2023",Alice Wonderland,Dennis Uy,Royalty Foster,2,89,Inbound,D
"Zyrtec, Claritin, Suddafed, Nasal Spray.. I feel like a drug addict taking these Allergy medicine. Please Allergy season.. DISAPPEAR!!",'9',"October 9, 2023",Eric Santos,Dina Tuto,Royalty Foster,1,20,Outbound,A
"Ûª_Ûª_ÛªÕ@SheLovesThatD: If she has allergies, give her the Claritin D.Ûª_Ûª_Ì_å @Sweeno_thakid41 @B_Original16 @luke_CYwalker14",'10',"November 10, 2023",Dan Trolly,Dennis Uy,Virginia Simon,3,48,Inbound,B
Time for another Claritin Ûª_ÛªÕÛªÌ¢,'11',"January 11, 2024",Dan Trolly,Dennis Uy,Scarlet Phillips,2,59,Outbound,C
,'12',"February 12, 2024",Alice Wonderland,John Smith,Royalty Foster,3,87,Inbound,D
Allergies messing up and I don't have a Claritin :(,'13',"March 13, 2024",Dan Trolly,Alex Trinidad,Mack Valenzuela,1,92,Outbound,A
@JonathanRKnight i rec to my patients claritin or to even use a netty pot to help clear most of the congestion.  sudafed raises blood press,'14',"April 14, 2024",Dan Trolly,Dennis Uy,Royalty Foster,3,75,Inbound,B
"Itchy itchy itchy- Ears itch, eyes itch, nose itch.  Hurry up and work, generic claritin!",'15',"May 15, 2024",Dan Trolly,Dina Tuto,Scarlet Phillips,1,66,Inbound,C
"@IamDeeAmber her inhaler and machine barely work. We go back n forth between Claritin, Zyrtec",'16',"June 16, 2024",Alice Wonderland,John Smith,Royalty Foster,2,37,Outbound,D
@JonathanRKnight Better Claritin cos u won't suffer any drowsiness :) Suitable for u :),'17',"July 17, 2024",Alice Wonderland,John Smith,Virginia Simon,3,16,Inbound,A
"Okay Claritin, I'm ready for you to work",'18',"August 18, 2024",Eric Santos,Alex Trinidad,Mack Valenzuela,2,39,Outbound,B
I need some claritin clear up in this bitch.,'19',"September 19, 2024",Dan Trolly,Alex Trinidad,Scarlet Phillips,3,39,Inbound,C
Omg you're gr8 RT @sandy_favela: @adriaanaaa_ Claritin D on deck cuh,'20',"October 20, 2024",Alice Wonderland,Dina Tuto,Royalty Foster,3,72,Outbound,D
Oh my word RT @xtraordashley Jesus +EmergenC+ niquil+Claritin d+ hot tea= hoping I feel better,'21',"November 10, 2023",Diana Medoza,Dina Tuto,Royalty Foster,2,72,Outbound,D
@erik_your_angel Get Louise some Claritin.,'22',"November 10, 2024",Diana Medoza,Dina Tuto,Royalty Foster,3,72,Outbound,D
@HannahBlackwell do CLARITIN - D It did wonders for me!,'23',"January 1, 2023",Alice Wonderland,Dina Tuto,Scarlet Phillips,3,0,Outbound,A
